source_frame,timestamp_ms,human_roi_present,human_roi_x1,human_roi_y1,human_roi_x2,human_roi_y2,raw_yolo_person_count,raw_yolo_pose_candidate_count,crop_yolo_pose_candidate_count,candidate_count_intersecting_human_roi,selected_candidate_id,candidate_selected_yes_no,final_frame_qc,final_target_segment_id,pose_rendered_yes_no,failure_stage,failure_reason
90,3000.0,True,428.91713503386654,6.233358302337623,691.0413604265744,716.4774503341597,3,3,3,2,1,True,VALID_TARGET,1.0,True,SUPPORTED,Frame belongs to a valid target segment.
91,3033.333333333333,True,427.18316760340105,6.0091367806708025,691.1151462746793,716.5671389428264,3,3,2,2,1,True,VALID_TARGET,1.0,True,SUPPORTED,Frame belongs to a valid target segment.
92,3066.666666666667,True,425.4492001729356,5.784915259003982,691.1889321227843,716.6568275514933,3,3,2,2,1,True,VALID_TARGET,1.0,True,SUPPORTED,Frame belongs to a valid target segment.
93,3100.0,True,423.7152327424701,5.560693737337161,691.2627179708893,716.7465161601599,3,3,2,2,1,True,VALID_TARGET,1.0,True,SUPPORTED,Frame belongs to a valid target segment.
94,3133.3333333333335,True,421.9812653120046,5.336472215670339,691.3365038189941,716.8362047688266,3,3,2,2,1,True,VALID_TARGET,1.0,True,SUPPORTED,Frame belongs to a valid target segment.
95,3166.6666666666665,True,420.2472978815391,5.112250694003518,691.410289667099,716.9258933774933,4,4,3,3,1,True,VALID_TARGET,1.0,True,SUPPORTED,Frame belongs to a valid target segment.
96,3200.0,True,418.51333045107367,4.888029172336697,691.484075515204,717.0155819861601,4,4,3,3,1,True,VALID_TARGET,1.0,True,SUPPORTED,Frame belongs to a valid target segment.
97,3233.3333333333335,True,416.7793630206082,4.6638076506698765,691.5578613633089,717.1052705948268,4,4,3,3,1,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
98,3266.6666666666665,True,415.0453955901427,4.439586129003056,691.6316472114138,717.1949592034935,3,3,2,3,2,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
99,3300.0,True,413.3114281596772,4.215364607336235,691.7054330595188,717.2846478121603,3,3,2,3,2,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
100,3333.3333333333335,True,411.5774607292117,3.991143085669414,691.7792189076235,717.3743364208269,3,3,3,3,2,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
101,3366.6666666666665,True,409.84349329874624,3.766921564002593,691.8530047557285,717.4640250294937,3,3,3,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
102,3400.0,True,408.10952586828074,3.542700042335772,691.9267906038335,717.5537136381605,3,3,3,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
103,3433.333333333333,True,406.37555843781524,3.3184785206689504,692.0005764519383,717.6434022468271,3,3,3,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
104,3466.666666666667,True,404.64159100734975,3.0942569990021305,692.0743623000433,717.7330908554939,3,3,2,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
105,3500.0,True,402.90762357688425,2.8700354773353087,692.1481481481482,717.8227794641606,3,3,3,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
