frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,True,,0.0,1.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,468.94235134124756,185.15220642089844,464.01671409606934,154.162127494812,,,31.379083704215343,,456.1525135040283,141.74299144744873,24.77925682067871,85.8739824295044,468.5421419143677,184.67998266220093,89.3775834697268,,474.5,187.5,6.591552984996921,0.04657556309095033,1.0,True
1,1,1,40.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,True,,0.0,1.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,464.92323112487793,181.9053192138672,461.986536026001,153.48835277557373,5.166778865871293,2.139064133791017,28.568306909210854,0.05728392916471779,452.3695240020752,140.59261322021484,22.967721939086914,87.0843734741211,463.85338497161865,184.1347999572754,90.06222490284937,0.01395306501317591,472.0,190.0,10.038321969424251,0.062258622007122046,1.0,True
2,2,2,80.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,458.3100833892822,185.9109172821045,458.15692710876465,155.54440116882324,7.73165822169352,4.346635417694921,30.3669023396268,0.03665556561269664,440.24657249450684,141.32063484191895,31.42542839050293,88.90634727478027,455.9592866897583,185.77380847930908,94.29685114186188,0.08630213183265613,469.5,192.5,15.119278068848761,0.082921640575037,1.0,True
3,3,3,120.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,4,0,True,3,0.6778152666986526,0.04471711265465852,True,True,False,False,458.1546878814697,180.4527587890625,458.0907726287842,150.19078636169434,5.460370124727328,5.354023526127931,30.26203992387686,0.002137107153629842,435.1910591125488,138.46978759765625,41.49252700805664,96.44005584716797,455.93732261657715,186.68981552124023,104.98720955106478,0.21787063809072255,462.9285714285714,192.21428571428572,8.910517990838631,0.04925159909723438,1.0,True
4,4,4,160.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,451.9479637145996,208.42095947265625,453.4470691680908,193.28113174438477,28.64862430137586,43.339841336008675,15.2138654129194,0.30668339239033104,431.3261547088623,188.08856964111328,23.44025993347168,44.392066955566406,443.04628467559814,210.28460311889648,50.200611493648246,1.116556678521996,456.3571428571429,191.9285714285714,22.674277164783355,0.12624024690582297,1.0,True
5,5,5,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.1319647114451291,0.29853512504349283,True,True,False,False,447.2609977722168,190.7292366027832,445.736665725708,155.976806640625,18.30204108424646,38.09282074999579,34.78584448396682,0.3988790090738702,427.1105155944824,141.39045524597168,35.49863052368164,95.63303565979004,444.85983085632324,189.2069730758667,102.00897155918952,1.055859872405813,449.78571428571433,191.64285714285717,5.495257841791209,0.03080029376104474,1.0,True
6,6,6,240.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.6220851568582724,0.027103471149208552,True,True,False,False,442.93581771850586,193.24156188964844,451.158634185791,171.76325225830078,5.001895725026805,16.691602895527133,22.99853245915264,0.24022666910867368,424.80778312683105,158.75481033325195,39.56260871887207,77.69355392456055,444.5890874862671,197.60158729553223,87.1865146113272,0.30208324451713287,443.21428571428567,191.35714285714283,6.39399454616404,0.036056728119204025,1.0,True
7,7,7,280.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,440.2818946838379,198.01050186157227,446.0275764465332,174.3484172821045,5.457663962699983,5.745505349740398,24.349683890433898,0.027536609458951755,421.80299377441406,160.6834716796875,43.8209228515625,76.38961029052734,443.7134552001953,198.87827682495117,88.06614468625973,0.017926954211784106,436.6428571428571,191.0714285714286,10.532817122781683,0.05972289327359684,1.0,True
8,8,8,320.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,432.93073654174805,193.23780822753906,437.0802478790283,163.16097259521484,8.76459528753923,14.325278605217575,30.361727322273108,0.12252608271733441,419.0996284484863,150.6789207458496,41.21242904663086,87.54594039916992,439.70584297180176,194.45189094543457,96.76133519282686,0.1772089046476999,430.07142857142856,190.78571428571428,10.30838455522476,0.058734728673937836,1.0,True
9,9,9,360.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,False,,,,NOT_REVIEWED,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,424.9692134857178,208.0207633972168,428.8257522583008,197.25102615356445,16.790521520203097,35.075182815827986,11.439411331084674,0.385638806609656,399.40212631225586,192.2619171142578,36.15780258178711,44.771484375,417.4810276031494,214.6476593017578,57.548870542212725,0.7991541880564703,423.5,190.5,24.886491887524443,0.14239463151478174,1.0,True
